revision,dirty,build_type,cmake_version,host,os,cpu,c_compiler,c_compiler_id,c_compiler_version,c_flags,cxx_compiler,cxx_compiler_id,cxx_compiler_version,cxx_flags,workload_id,workload_size,expected_outcome,strategy,sample_index,equivalence_status,failure_atomic,emitted_source_bytes,emission_time_ns,c_compile_time_ns,executable_bytes,execution_time_ns,emission_peak_kib,compile_peak_kib,execution_peak_kib
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,constants,1,byte_equivalent,true,240,1809380,219772075,16088,1148392,4136,24880,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,constants,2,byte_equivalent,true,240,1623194,219422576,16088,1252105,4152,24860,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,constants,3,byte_equivalent,true,240,1538848,216657382,16088,1143754,4144,24924,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,constants,4,byte_equivalent,true,240,1558623,212224662,16088,1198165,4136,24960,1576
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,constants,5,byte_equivalent,true,240,1569294,220094032,16088,1240293,4140,24860,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,flat,1,byte_equivalent,true,1061,1574603,228612367,16256,1197955,4172,27160,1580
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,flat,2,byte_equivalent,true,1061,1694466,223554557,16256,1217971,4124,27168,1512
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,flat,3,byte_equivalent,true,1061,1476381,223298201,16256,1209686,4164,27188,1516
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,flat,4,byte_equivalent,true,1061,1631359,225511460,16256,1199497,4140,27060,1512
0d5b1e68e3694ebec38f8fc25835a0518942489d,false,Release,4.4.0,NucBoxM6Ultra,Linux-6.18.33.2-microsoft-standard-WSL2-x86_64-with-glibc2.43,AMD Ryzen 5 7640HS w/ Radeon 760M Graphics,/usr/bin/x86_64-linux-gnu-gcc-15,GNU,15.2.0,-std=c11 -O2 -Wall -Wextra -Werror -pedantic-errors,/usr/bin/c++,GNU,15.2.0, -O3 -DNDEBUG -std=c++20 -DDOCTEST_CONFIG_DISABLE -DDOCTEST_CONFIG_NO_EXCEPTIONS -DDOCTEST_CONFIG_NO_EXCEPTIONS_BUT_WITH_ALL_ASSERTS [src/primitive.cpp: -frounding-math -fno-fast-math],scalar_bool,1,success,flat,5,byte_equivalent,true,1061,1521174,211038681,16256,1150607,4204,27156,1580
