workload_id,workload_size,expected_outcome,strategy,samples,equivalence_status,median_emitted_source_bytes,median_emission_time_ns,median_c_compile_time_ns,median_executable_bytes,median_execution_time_ns,median_emission_peak_kib,median_compile_peak_kib,median_execution_peak_kib
scalar_bool,1,success,constants,5,byte_equivalent,240,1569294,219422576,16088,1198165,4140,24880,1516
scalar_bool,1,success,flat,5,byte_equivalent,1061,1574603,223554557,16256,1199497,4164,27160,1516
scalar_bool,1,success,hybrid,5,byte_equivalent,240,1583419,216880697,16088,1211530,4168,24944,1516
scalar_int,1,success,constants,5,byte_equivalent,256,1569273,206959948,16088,1186052,4144,24944,1516
scalar_int,1,success,flat,5,byte_equivalent,1077,1574673,224652669,16256,1189358,4164,27240,1516
scalar_int,1,success,hybrid,5,byte_equivalent,256,1611772,219786110,16088,1167397,4152,24940,1516
scalar_double,1,success,constants,5,byte_equivalent,240,1624636,223002933,16088,1215396,4256,25008,1516
scalar_double,1,success,flat,5,byte_equivalent,1061,1575024,224799749,16264,1172427,4264,27168,1516
scalar_double,1,success,hybrid,5,byte_equivalent,240,1590734,217620710,16088,1191783,4256,24940,1516
empty_bool,0,success,constants,5,byte_equivalent,238,1559996,215141647,16088,1186172,4164,25008,1516
empty_bool,0,success,flat,5,byte_equivalent,1059,1550448,223188097,16256,1145146,4168,27228,1516
empty_bool,0,success,hybrid,5,byte_equivalent,238,1624977,219094718,16088,1219804,4164,24940,1516
empty_int,0,success,constants,5,byte_equivalent,238,1602726,221883099,16088,1193656,4164,25056,1516
empty_int,0,success,flat,5,byte_equivalent,1059,1615059,224318921,16256,1188947,4156,27192,1516
empty_int,0,success,hybrid,5,byte_equivalent,238,1562350,215349469,16088,1232188,4168,24892,1516
empty_double,0,success,constants,5,byte_equivalent,238,1588069,214329324,16088,1232569,4132,24940,1516
empty_double,0,success,flat,5,byte_equivalent,1059,1541822,224237150,16264,1167237,4132,27160,1516
empty_double,0,success,hybrid,5,byte_equivalent,238,1560147,219295706,16088,1210668,4164,24920,1516
arbitrary_lifted,4,success,constants,5,byte_equivalent,247,1640916,219317587,16096,1240893,4160,24944,1576
arbitrary_lifted,4,success,flat,5,byte_equivalent,1191,1601664,225046532,16304,1190420,4176,27148,1772
arbitrary_lifted,4,success,hybrid,5,byte_equivalent,247,1597466,215127787,16088,1208794,4156,24896,1516
nested_iota_1,1,success,constants,5,byte_equivalent,239,1587457,216765589,16088,1197644,4168,24944,1516
nested_iota_1,1,success,flat,5,byte_equivalent,1082,1568282,225253397,16264,1232939,4156,27240,1772
nested_iota_1,1,success,hybrid,5,byte_equivalent,239,1616151,223315048,16088,1143402,4140,24936,1516
nested_iota_1000,1000,success,constants,5,byte_equivalent,4298,1733488,220128021,20192,1216779,4272,24924,1516
nested_iota_1000,1000,success,flat,5,byte_equivalent,1085,1675741,225005336,16264,1273154,4296,27240,1772
nested_iota_1000,1000,success,hybrid,5,byte_equivalent,4298,1674650,217040508,20184,1182827,4272,24928,1516
nested_iota_100000,100000,success,constants,5,byte_equivalent,633875,12732797,254405632,619152,1706930,6892,31712,2072
nested_iota_100000,100000,success,flat,5,byte_equivalent,1087,11281351,225992053,16264,6238255,6244,27168,1708
nested_iota_100000,100000,success,hybrid,5,byte_equivalent,1087,11289256,230646091,16272,6071445,6240,27160,1772
invalid_source,0,invalid_source,constants,5,expected_rejection,0,1486029,,,,4176,,
invalid_source,0,invalid_source,flat,5,expected_rejection,0,1415177,,,,4140,,
invalid_source,0,invalid_source,hybrid,5,expected_rejection,0,1468275,,,,4132,,
resource_refusal,1000,resource_refusal,constants,5,expected_rejection,0,1423092,,,,4164,,
resource_refusal,1000,resource_refusal,flat,5,expected_rejection,0,1487902,,,,4140,,
resource_refusal,1000,resource_refusal,hybrid,5,expected_rejection,0,1774394,,,,4168,,
